parcel,address,owner,assessment_total,assessment_pct,property_type,block_num,lot_num,daterec_ad,zoning_sim,from_st,districtna,join_count,odd_even,datemap_ad,mapblklot,daterec_dr,st_type,datemap_dr,multigeom,street,target_fid,asr_secure,to_st,blklot,Application Number,..2,Type of tax credit funding,Project Name,Project Address,Project City,Project Zip Code,Project Phone Number,Project County,California Assembly District,California Senate District,Federal Congressional District,Census Tract,Assessor's Parcel Number (APN),Application Stage,Placed in Service (PIS) Date,Last Building PIS Date,Construction Type,Housing Type,Total Units,Low Income Units,Number of SRO/Studio Units,Number of 1 Bedroom Units,Number of 2 Bedroom Units,Number of 3 Bedroom Units,Number of 4 Bedroom Units,Number of 5 Bedroom Units,Number of 6 Bedroom Units,Units at or below 30% AMI,Units at 35% AMI,Units at 40% AMI,Units at 45% AMI,Units at 50% AMI,Units at 55% AMI,Units at 60% AMI,Owner or Applicant Name,Owner/Applicant Contact,Owner/Applicant Address,Owner/Applicant City,Owner/Applicant State,Owner/Applicant Zip,Owner/Applicant Phone,Owner/Applicant Fax,General Partner (1),General Partner (2),General Partner (3),General Partner (4),General Partner (5),Management Company,Management Company Contact,Management Company Address,Management Company City,Management Company State,Management Company Zip,Management Company Phone,Management Company Fax,Developer,Annual Federal Award,Total State Award
3518  045,1346  FOLSOM,NA,15130.53,0.4,private,3518,045,20030501,NCT|RED-MX,75,FOLSOM STREET NEIGHBORHOOD COMMERCIAL TRANSIT|RESIDENTIAL ENCLAVE-MIXED,2,O,20030611,3518045,NA,ST,NA,FALSE,DORE,42929956,-1,75,3518045,CA-2002-884,NA,0.04,Folsom/Dore Apartments,"75 Dore Street, San Francisco, CA 94103",San Francisco,94103,(415) 861-3581,San Francisco,17,11,12,178.02,NA,Placed In Service,2005-02-28T00:00:00Z,2005-02-28T00:00:00Z,New Construction,Non Targeted,98,96,33,57,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Folsom/Dore Associates, a CA LP",Brandon Flannery,215 Taylor Street,San Francisco,CA,94102,(415) 358-3935,(415) 409-8636,"Turk Street, Inc.",NA,NA,NA,NA,Tenderloin Neighborhood Development Corporation,Felicia Scruggs-Wright,215 Taylor Street,San Francisco,CA,94102,(415) 358-3903,(415) 409-8363,Citizens Housing Corp.,785744,0
3518  088,275  10TH,NA,15424.06,0.4,private,3518,088,20070511,NCT|RCD,275,FOLSOM STREET NEIGHBORHOOD COMMERCIAL TRANSIT|REGIONAL COMMERCIAL,2,O,20070514,3518088,NA,ST,NA,FALSE,10TH,42930078,-1,275,3518088,CA-2007-882,NA,0.04,Bishop Swing Community House,"275 10th Street, San Francisco, CA 94103",San Francisco,94103,(415)487-3384,San Francisco,17,11,12,178.02,3518-088,Placed In Service,2009-07-13T00:00:00Z,2009-07-13T00:00:00Z,New Construction,SRO,135,134,134,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"275 10th Street Associates, L.P.",Liz Pocock,165 Eight Street,San Francisco,CA,94103,415487-3300X1203,(415) 252-1743,275 10th Street LLC,NA,NA,NA,NA,Caritas Management Corporation,Julius Willson-Kermah,1358 Valencia Street,San Francisco,CA,94110,(415) 647-7191X124,(415) 648-3919,Episcopal Community Services of San Francisco,1289958,0
3726  013,1028  VHOWARD,NA,7920.21,0.21000000000000002,private,3726,013,NA,MUG,1028,MIXED USE-GENERAL,1,E,19980701,3726013,NA,ST,NA,FALSE,HOWARD,42945148,-1,1028,3726013,CA-1992-141,NA,0.09,1028 Howard Street Apartments,"1028 Howard Street, San Francisco, CA 94103",San Francisco,94103,415.621.5401,San Francisco,17,11,12,178.02,NA,Extended,1994-12-31T00:00:00Z,1994-12-31T00:00:00Z,New Construction,Large Family,30,30,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"1028 Howard Street, LLC",Kim Duran-Portello,"1360 Mission Street, #300",San Francisco,CA,94103,213.473.5824,213.743.5828,sole member Mercy Housing Calwest,NA,NA,NA,NA,Mercy Housing Management Group,Michael Liebe,"1360 Mission Street, #300",San Francisco,CA,94103,415.355.7132,415.322.7101,south of Market Mercy Housing,452949,0
3726  034,V0173  07TH,NA,5245.860000000001,0.14,private,3726,034,NA,MUG,173,MIXED USE-GENERAL,1,O,19980701,3726034,NA,ST,NA,FALSE,07TH,42945247,-1,175,3726034,CA-1994-020,NA,0.09,Gabreila Apartments,"587 Natoma Street, San Francisco, CA 94103",San Francisco,94103,415-487-9614,San Francisco,17,11,12,176.01,NA,EXTENDED,1996-12-13T00:00:00Z,1996-12-13T00:00:00Z,New Construction,Large Family,29,29,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,Gabreila Apartments LTD,Al Borvice,221 Sansome Street Suite 200,San Francisco,CA,94104,415-395-9698,415-395-4780,Housing Development & Neighborhood Preservation Co,NA,NA,NA,NA,Housing Development and Neighborhood Preservation,Cheley Quiambao,221 Sansome Street Suite 200,San Francisco,CA,94104,415-395-9698,415-395-4780,Housing Dev. & Neighborhood Preservation,580817,0
3726  095,529  MINNA,NA,3602.98,0.09,private,3726,095,NA,RED,529,SOUTH OF MARKET RESIDENTIAL ENCLAVE,1,O,19980701,3726095,NA,ST,NA,FALSE,MINNA,42945463,-1,535,3726095,CA-1997-189,NA,0.09,Minna Park Family Apartments,"535 Minna Street, San Francisco, CA 94103",San Francisco,94103,415-626-2613,San Francisco,17,11,12,176.01,3726-94,Placed In Service,1999-12-08T00:00:00Z,1999-12-08T00:00:00Z,New Construction,Large Family,26,26,NA,11,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minna Park Housing Partners, a CA LP",Steve Suzuki,1245 Howard Street,San Francisco,CA,94103,415-575-0423,415-575-0424,Minna-Russ Housing Development Corporation,NA,NA,NA,NA,Caritas Management Corporation,Patrice Copeland,1358 Valencia Street,San Francisco,CA,94110,415-647-7191x115,415-648-3919,NA,355395,0
3727  199,677  SITUS  TO  BE  ASSIGNED,NA,15637.93,0.41000000000000003,private,3727,199,20010424,RED-MX,675,RESIDENTIAL ENCLAVE-MIXED,1,O,20020409,3727199,NA,ST,NA,FALSE,MINNA,42946368,-1,675,3727199,CA-1999-065,NA,0.09,Canon Barcus Community House,"670 Natoma Street, San Francisco, CA 94103",San Francisco,94103,(415) 487-3340,San Francisco,17,11,12,176.01,3727/61,Placed In Service,2001-12-31T00:00:00Z,2001-12-31T00:00:00Z,New Construction,Large Family,48,47,0,4,12,27,5,0,0,NA,NA,NA,NA,NA,NA,NA,Canon Barcus Associates,Liz Pocock,165 Eight Street,San Francisco,CA,94103,415487-3300X1203,(415) 252-1743,Canon Barcus Inc.,NA,NA,NA,NA,Caritas Management Corporation,Julius Willson-Kermah,1358 Valencia Street,San Francisco,CA,94110,(415) 647-7191X124,(415) 648-3919,NA,789841,0
3727  202,1166  HOWARD,NA,2895.06,0.08,private,3727,202,20001212,RED-MX,1166,RESIDENTIAL ENCLAVE-MIXED,1,E,20030402,3727202,NA,ST,NA,FALSE,HOWARD,42946369,-1,1188,3727202,CA-2000-213,NA,0.09,SOMA Studios,"1166 Howard Street, San Francisco, CA 94103",San Francisco,94103,(415) 861-3237,San Francisco,17,11,12,178.02,3727,Placed In Service,2002-12-31T00:00:00Z,2002-12-31T00:00:00Z,New Construction,SRO,88,87,88,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1166 Howard Street Associates,Brandon Flannery,215 Taylor Street,San Francisco,CA,94102,(415) 358-3935,(415) 409-8636,Howard Street Development Corporation,NA,NA,NA,NA,Tenderloin Neighborhood Development Corporation,Felicia Scruggs-Wright,215 Taylor Street,San Francisco,CA,94102,(415) 358-3903,(415) 409-8363,NA,877664,0
3727  203,1166  HOWARD,NA,2895.06,0.08,private,3727,203,20001212,RED-MX,1166,RESIDENTIAL ENCLAVE-MIXED,1,E,20030402,3727202,NA,ST,NA,FALSE,HOWARD,42946370,-1,1188,3727203,CA-2000-213,NA,0.09,SOMA Studios,"1166 Howard Street, San Francisco, CA 94103",San Francisco,94103,(415) 861-3237,San Francisco,17,11,12,178.02,3727,Placed In Service,2002-12-31T00:00:00Z,2002-12-31T00:00:00Z,New Construction,SRO,88,87,88,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1166 Howard Street Associates,Brandon Flannery,215 Taylor Street,San Francisco,CA,94102,(415) 358-3935,(415) 409-8636,Howard Street Development Corporation,NA,NA,NA,NA,Tenderloin Neighborhood Development Corporation,Felicia Scruggs-Wright,215 Taylor Street,San Francisco,CA,94102,(415) 358-3903,(415) 409-8363,NA,877664,0
3727  204,1166  AHOWARD,NA,5237.83,0.14,private,3727,204,20001212,RED-MX,1166,RESIDENTIAL ENCLAVE-MIXED,1,E,20030402,3727202,NA,ST,NA,FALSE,HOWARD,42946371,-1,1188,3727204,CA-2000-213,NA,0.09,SOMA Studios,"1166 Howard Street, San Francisco, CA 94103",San Francisco,94103,(415) 861-3237,San Francisco,17,11,12,178.02,3727,Placed In Service,2002-12-31T00:00:00Z,2002-12-31T00:00:00Z,New Construction,SRO,88,87,88,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1166 Howard Street Associates,Brandon Flannery,215 Taylor Street,San Francisco,CA,94102,(415) 358-3935,(415) 409-8636,Howard Street Development Corporation,NA,NA,NA,NA,Tenderloin Neighborhood Development Corporation,Felicia Scruggs-Wright,215 Taylor Street,San Francisco,CA,94102,(415) 358-3903,(415) 409-8363,NA,877664,0
3728  007,705  NATOMA,NA,7148.58,0.19,private,3728,007,NA,WMUG,705,WSOMA MIXED USE-GENERAL,1,O,19980701,3728007,NA,ST,NA,FALSE,NATOMA,42946480,-1,705,3728007,CA-1992-103,NA,0.09,Canon Kip Community House,"705 Natoma Street, San Francisco, CA 94103",San Francisco,94103,(487)487-3384,San Francisco,17,11,12,176.01,NA,Extended,1994-09-19T00:00:00Z,1994-09-19T00:00:00Z,New Construction,SRO,104,104,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Canon Kip Associates, LP",Liz Pocock,165 Eight Street,San Francisco,Ca,94103,415487-3300X1203,NA,Canon Kip Inc.,NA,NA,NA,NA,Caritas Management Corporation,Julius Willson-Kermah,1358 Valencia Street,San Francisco,CA,94110,(415) 647-7191X124,(415) 648-3919,Canon Kip Associates,594511,0
